Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra optica,Wireless,Otros,Total,ADSL meta,Cablemodem meta,Fibra optica meta,Wireless meta,Otros meta,Total meta,Tecnologia Predominante
2014,1,Buenos Aires,1567685,1000879,120960,16528,33824,2739876,0,0,0,0,0,0,ADSL
2014,2,Buenos Aires,1568881,1025490,120008,17020,33147,2764546,1599038,1020896,123379,16858,34500,2794673,ADSL
2014,3,Buenos Aires,1562533,1110628,124474,20049,31881,2849565,1600258,1045999,122408,17360,33809,2819836,ADSL
2014,4,Buenos Aires,1575978,1070135,120528,17728,32038,2816407,1593783,1132840,126963,20449,32518,2906556,ADSL
2015,1,Buenos Aires,1583135,1096836,134177,18754,28940,2861842,1607497,1091537,122938,18082,32678,2872735,ADSL
2015,2,Buenos Aires,1581770,1141052,115660,19268,26040,2883790,1614797,1118772,136860,19129,29518,2919078,ADSL
2015,3,Buenos Aires,1585467,1183894,113590,19989,25825,2928765,1613405,1163873,117973,19653,26560,2941465,ADSL
2015,4,Buenos Aires,1586343,1223603,103269,20397,25773,2959385,1617176,1207571,115861,20388,26341,2987340,ADSL
2016,1,Buenos Aires,1583560,1200859,111231,21108,25757,2942515,1618069,1248075,105334,20804,26288,3018572,ADSL
2016,2,Buenos Aires,1579448,1305949,113070,21163,25661,3045291,1615231,1224876,113455,21530,26272,3001365,ADSL
2016,3,Buenos Aires,1574216,1355770,113463,18867,24276,3086592,1611036,1332067,115331,21586,26174,3106196,ADSL
2016,4,Buenos Aires,1563542,1414676,118747,21394,24342,3142701,1605700,1382885,115732,19244,24761,3148323,ADSL
2017,1,Buenos Aires,1559178,1465817,118839,21200,24342,3189376,1594812,1442969,121121,21821,24828,3205555,ADSL
2017,2,Buenos Aires,1378549,1535037,119132,21555,24358,3078631,1590361,1495133,121215,21624,24828,3253163,Cablemodem
2017,3,Buenos Aires,1288025,1571180,124920,35058,38777,3057960,1406119,1565737,121514,21986,24845,3140203,Cablemodem
2017,4,Buenos Aires,1241172,1718013,131181,60082,31448,3181896,1313785,1602603,127418,35759,39552,3119119,Cablemodem
