Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2024,2,Buenos Aires,"79,84","-36,6769","-60,5588"
2024,2,Capital Federal,"116,37","-34,6037","-58,3816"
2024,2,Catamarca,"68,81","-28,4696","-65,7795"
2024,2,Chaco,"44,06","-27,4515","-58,9864"
2024,2,Chubut,"86,33","-43,3002","-65,1023"
2024,2,Córdoba,"90,79","-31,4201","-64,1888"
2024,2,Corrientes,"51,38","-27,4806","-58,8341"
2024,2,Entre Ríos,"68,64","-32,0718","-60,5238"
2024,2,Formosa,"39,69","-26,1728","-58,1825"
2024,2,Jujuy,"58,30","-24,1945","-65,2971"
2024,2,La Pampa,"101,17","-37,7429","-64,2856"
2024,2,La Rioja,"79,52","-29,4135","-66,8565"
2024,2,Mendoza,"52,30","-34,5890","-68,3480"
2024,2,Misiones,"57,73","-27,3644","-55,9000"
2024,2,Neuquén,"78,93","-38,9516","-68,0591"
2024,2,Río Negro,"71,35","-40,8135","-67,9665"
2024,2,Salta,"55,72","-24,7821","-65,4232"
2024,2,San Juan,"51,17","-31,5275","-68,5386"
2024,2,San Luis,"103,40","-33,3018","-66,3378"
2024,2,Santa Cruz,"69,92","-48,7834","-69,9335"
2024,2,Santa Fe,"81,34","-31,6333","-60,7000"
2024,2,Santiago Del Estero,"49,67","-27,7834","-64,2642"
2024,2,Tierra Del Fuego,"108,89","-54,8019","-68,3029"
2024,2,Tucumán,"60,84","-26,8241","-65,2226"
2024,1,Buenos Aires,"81,10","-36,6769","-60,5588"
2024,1,Capital Federal,"119,53","-34,6037","-58,3816"
2024,1,Catamarca,"68,82","-28,4696","-65,7795"
2024,1,Chaco,"46,70","-27,4515","-58,9864"
2024,1,Chubut,"84,89","-43,3002","-65,1023"
2024,1,Córdoba,"90,70","-31,4201","-64,1888"
2024,1,Corrientes,"51,94","-27,4806","-58,8341"
2024,1,Entre Ríos,"69,31","-32,0718","-60,5238"
2024,1,Formosa,"39,61","-26,1728","-58,1825"
2024,1,Jujuy,"57,65","-24,1945","-65,2971"
2024,1,La Pampa,"100,49","-37,7429","-64,2856"
2024,1,La Rioja,"80,03","-29,4135","-66,8565"
2024,1,Mendoza,"52,59","-34,5890","-68,3480"
2024,1,Misiones,"56,76","-27,3644","-55,9000"
2024,1,Neuquén,"79,50","-38,9516","-68,0591"
2024,1,Río Negro,"71,14","-40,8135","-67,9665"
2024,1,Salta,"56,30","-24,7821","-65,4232"
2024,1,San Juan,"51,62","-31,5275","-68,5386"
2024,1,San Luis,"102,70","-33,3018","-66,3378"
2024,1,Santa Cruz,"67,58","-48,7834","-69,9335"
2024,1,Santa Fe,"80,40","-31,6333","-60,7000"
2024,1,Santiago Del Estero,"49,41","-27,7834","-64,2642"
2024,1,Tierra Del Fuego,"109,78","-54,8019","-68,3029"
2024,1,Tucumán,"60,48","-26,8241","-65,2226"
2023,4,Buenos Aires,"80,96","-36,6769","-60,5588"
2023,4,Capital Federal,"117,02","-34,6037","-58,3816"
2023,4,Catamarca,"68,63","-28,4696","-65,7795"
2023,4,Chaco,"44,35","-27,4515","-58,9864"
2023,4,Chubut,"84,96","-43,3002","-65,1023"
2023,4,Córdoba,"90,67","-31,4201","-64,1888"
2023,4,Corrientes,"52,56","-27,4806","-58,8341"
2023,4,Entre Ríos,"69,94","-32,0718","-60,5238"
2023,4,Formosa,"39,23","-26,1728","-58,1825"
2023,4,Jujuy,"57,78","-24,1945","-65,2971"
2023,4,La Pampa,"99,96","-37,7429","-64,2856"
2023,4,La Rioja,"80,22","-29,4135","-66,8565"
2023,4,Mendoza,"52,15","-34,5890","-68,3480"
2023,4,Misiones,"56,27","-27,3644","-55,9000"
2023,4,Neuquén,"79,91","-38,9516","-68,0591"
2023,4,Río Negro,"70,26","-40,8135","-67,9665"
2023,4,Salta,"56,98","-24,7821","-65,4232"
2023,4,San Juan,"50,08","-31,5275","-68,5386"
