Año,Trimestre,Provincia,Accesos/100 hogares,Latitud,Longitud,Accesos hogares trimestre anterior,Accesos hogares meta
2014,1,Buenos Aires,"54,57","-36,6769","-60,5588","0,00","0,00"
2014,2,Buenos Aires,"55,06","-36,6769","-60,5588","54,57","55,66"
2014,3,Buenos Aires,"56,75","-36,6769","-60,5588","55,06","56,16"
2014,4,Buenos Aires,"56,09","-36,6769","-60,5588","56,75","57,89"
2015,1,Buenos Aires,"56,37","-36,6769","-60,5588","56,09","57,22"
2015,2,Buenos Aires,"56,80","-36,6769","-60,5588","56,37","57,50"
2015,3,Buenos Aires,"57,69","-36,6769","-60,5588","56,80","57,94"
2015,4,Buenos Aires,"58,29","-36,6769","-60,5588","57,69","58,84"
2016,1,Buenos Aires,"57,34","-36,6769","-60,5588","58,29","59,46"
2016,2,Buenos Aires,"59,34","-36,6769","-60,5588","57,34","58,48"
2016,3,Buenos Aires,"60,14","-36,6769","-60,5588","59,34","60,53"
2016,4,Buenos Aires,"61,24","-36,6769","-60,5588","60,14","61,35"
2017,1,Buenos Aires,"58,57","-36,6769","-60,5588","61,24","62,46"
2017,2,Buenos Aires,"56,27","-36,6769","-60,5588","58,57","59,75"
2017,3,Buenos Aires,"55,63","-36,6769","-60,5588","56,27","57,40"
2017,4,Buenos Aires,"57,61","-36,6769","-60,5588","55,63","56,74"
2018,1,Buenos Aires,"62,63","-36,6769","-60,5588","57,61","58,76"
2018,2,Buenos Aires,"62,78","-36,6769","-60,5588","62,63","63,88"
2018,3,Buenos Aires,"64,44","-36,6769","-60,5588","62,78","64,04"
2018,4,Buenos Aires,"64,60","-36,6769","-60,5588","64,44","65,73"
2019,1,Buenos Aires,"66,24","-36,6769","-60,5588","64,60","65,89"
2019,2,Buenos Aires,"67,85","-36,6769","-60,5588","66,24","67,57"
2019,3,Buenos Aires,"69,36","-36,6769","-60,5588","67,85","69,20"
2019,4,Buenos Aires,"64,25","-36,6769","-60,5588","69,36","70,74"
2020,1,Buenos Aires,"64,33","-36,6769","-60,5588","64,25","65,54"
2020,2,Buenos Aires,"65,22","-36,6769","-60,5588","64,33","65,61"
2020,3,Buenos Aires,"67,66","-36,6769","-60,5588","65,22","66,52"
2020,4,Buenos Aires,"68,98","-36,6769","-60,5588","67,66","69,01"
2021,1,Buenos Aires,"69,11","-36,6769","-60,5588","68,98","70,36"
2021,2,Buenos Aires,"70,00","-36,6769","-60,5588","69,11","70,49"
2021,3,Buenos Aires,"71,68","-36,6769","-60,5588","70,00","71,40"
2021,4,Buenos Aires,"75,66","-36,6769","-60,5588","71,68","73,12"
2022,1,Buenos Aires,"76,08","-36,6769","-60,5588","75,66","77,18"
2022,2,Buenos Aires,"77,58","-36,6769","-60,5588","76,08","77,60"
2022,3,Buenos Aires,"78,11","-36,6769","-60,5588","77,58","79,13"
2022,4,Buenos Aires,"78,94","-36,6769","-60,5588","78,11","79,67"
2023,1,Buenos Aires,"79,00","-36,6769","-60,5588","78,94","80,52"
2023,2,Buenos Aires,"79,67","-36,6769","-60,5588","79,00","80,58"
2023,3,Buenos Aires,"80,64","-36,6769","-60,5588","79,67","81,26"
2023,4,Buenos Aires,"80,96","-36,6769","-60,5588","80,64","82,25"
2024,1,Buenos Aires,"81,10","-36,6769","-60,5588","80,96","82,58"
2024,2,Buenos Aires,"79,84","-36,6769","-60,5588","81,10","82,72"
2014,1,Capital Federal,"112,25","-34,6037","-58,3816","0,00","0,00"
2014,2,Capital Federal,"113,14","-34,6037","-58,3816","112,25","114,50"
2014,3,Capital Federal,"113,80","-34,6037","-58,3816","113,14","115,41"
2014,4,Capital Federal,"114,90","-34,6037","-58,3816","113,80","116,08"
2015,1,Capital Federal,"114,90","-34,6037","-58,3816","114,90","117,19"
2015,2,Capital Federal,"116,07","-34,6037","-58,3816","114,90","117,19"
2015,3,Capital Federal,"118,29","-34,6037","-58,3816","116,07","118,39"
2015,4,Capital Federal,"118,13","-34,6037","-58,3816","118,29","120,65"
2016,1,Capital Federal,"115,16","-34,6037","-58,3816","118,13","120,49"
2016,2,Capital Federal,"120,04","-34,6037","-58,3816","115,16","117,46"
2016,3,Capital Federal,"120,77","-34,6037","-58,3816","120,04","122,44"
2016,4,Capital Federal,"120,63","-34,6037","-58,3816","120,77","123,19"
2017,1,Capital Federal,"108,37","-34,6037","-58,3816","120,63","123,04"
2017,2,Capital Federal,"124,06","-34,6037","-58,3816","108,37","110,54"
2017,3,Capital Federal,"121,86","-34,6037","-58,3816","124,06","126,54"
2017,4,Capital Federal,"122,90","-34,6037","-58,3816","121,86","124,30"
2018,1,Capital Federal,"106,24","-34,6037","-58,3816","122,90","125,36"
2018,2,Capital Federal,"106,53","-34,6037","-58,3816","106,24","108,36"
2018,3,Capital Federal,"108,45","-34,6037","-58,3816","106,53","108,67"
2018,4,Capital Federal,"108,27","-34,6037","-58,3816","108,45","110,61"
2019,1,Capital Federal,"109,20","-34,6037","-58,3816","108,27","110,44"
2019,2,Capital Federal,"110,55","-34,6037","-58,3816","109,20","111,38"
2019,3,Capital Federal,"112,65","-34,6037","-58,3816","110,55","112,76"
2019,4,Capital Federal,"106,25","-34,6037","-58,3816","112,65","114,90"
2020,1,Capital Federal,"105,98","-34,6037","-58,3816","106,25","108,37"
2020,2,Capital Federal,"106,41","-34,6037","-58,3816","105,98","108,10"
2020,3,Capital Federal,"107,68","-34,6037","-58,3816","106,41","108,54"
