Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud
2024,2,Buenos Aires,"27,43","-36,6769","-60,5588"
2024,2,Capital Federal,"47,44","-34,6037","-58,3816"
2024,2,Catamarca,"17,50","-28,4696","-65,7795"
2024,2,Chaco,"11,78","-27,4515","-58,9864"
2024,2,Chubut,"26,46","-43,3002","-65,1023"
2024,2,Córdoba,"27,79","-31,4201","-64,1888"
2024,2,Corrientes,"13,53","-27,4806","-58,8341"
2024,2,Entre Ríos,"20,52","-32,0718","-60,5238"
2024,2,Formosa,"10,10","-26,1728","-58,1825"
2024,2,Jujuy,"14,91","-24,1945","-65,2971"
2024,2,La Pampa,"33,33","-37,7429","-64,2856"
2024,2,La Rioja,"21,17","-29,4135","-66,8565"
2024,2,Mendoza,"14,60","-34,5890","-68,3480"
2024,2,Misiones,"15,72","-27,3644","-55,9000"
2024,2,Neuquén,"23,49","-38,9516","-68,0591"
2024,2,Río Negro,"21,95","-40,8135","-67,9665"
2024,2,Salta,"13,49","-24,7821","-65,4232"
2024,2,San Juan,"13,03","-31,5275","-68,5386"
2024,2,San Luis,"29,59","-33,3018","-66,3378"
2024,2,Santa Cruz,"20,80","-48,7834","-69,9335"
2024,2,Santa Fe,"25,58","-31,6333","-60,7000"
2024,2,Santiago Del Estero,"12,33","-27,7834","-64,2642"
2024,2,Tierra Del Fuego,"32,28","-54,8019","-68,3029"
2024,2,Tucumán,"15,07","-26,8241","-65,2226"
2024,1,Buenos Aires,"27,80","-36,6769","-60,5588"
2024,1,Capital Federal,"48,78","-34,6037","-58,3816"
2024,1,Catamarca,"17,50","-28,4696","-65,7795"
2024,1,Chaco,"12,48","-27,4515","-58,9864"
2024,1,Chubut,"26,02","-43,3002","-65,1023"
2024,1,Córdoba,"27,77","-31,4201","-64,1888"
2024,1,Corrientes,"13,68","-27,4806","-58,8341"
2024,1,Entre Ríos,"20,72","-32,0718","-60,5238"
2024,1,Formosa,"10,08","-26,1728","-58,1825"
2024,1,Jujuy,"14,74","-24,1945","-65,2971"
2024,1,La Pampa,"33,11","-37,7429","-64,2856"
2024,1,La Rioja,"21,30","-29,4135","-66,8565"
2024,1,Mendoza,"14,67","-34,5890","-68,3480"
2024,1,Misiones,"15,46","-27,3644","-55,9000"
2024,1,Neuquén,"23,66","-38,9516","-68,0591"
2024,1,Río Negro,"21,88","-40,8135","-67,9665"
2024,1,Salta,"13,63","-24,7821","-65,4232"
2024,1,San Juan,"13,15","-31,5275","-68,5386"
2024,1,San Luis,"29,39","-33,3018","-66,3378"
2024,1,Santa Cruz,"20,10","-48,7834","-69,9335"
2024,1,Santa Fe,"25,28","-31,6333","-60,7000"
2024,1,Santiago Del Estero,"12,26","-27,7834","-64,2642"
2024,1,Tierra Del Fuego,"32,54","-54,8019","-68,3029"
2024,1,Tucumán,"14,98","-26,8241","-65,2226"
2023,4,Buenos Aires,"27,68","-36,6769","-60,5588"
2023,4,Capital Federal,"47,80","-34,6037","-58,3816"
2023,4,Catamarca,"17,46","-28,4696","-65,7795"
2023,4,Chaco,"11,85","-27,4515","-58,9864"
2023,4,Chubut,"26,04","-43,3002","-65,1023"
2023,4,Córdoba,"27,76","-31,4201","-64,1888"
2023,4,Corrientes,"13,84","-27,4806","-58,8341"
2023,4,Entre Ríos,"20,91","-32,0718","-60,5238"
2023,4,Formosa,"9,98","-26,1728","-58,1825"
2023,4,Jujuy,"14,77","-24,1945","-65,2971"
2023,4,La Pampa,"32,93","-37,7429","-64,2856"
2023,4,La Rioja,"21,35","-29,4135","-66,8565"
2023,4,Mendoza,"14,55","-34,5890","-68,3480"
2023,4,Misiones,"15,33","-27,3644","-55,9000"
2023,4,Neuquén,"23,78","-38,9516","-68,0591"
2023,4,Río Negro,"21,61","-40,8135","-67,9665"
2023,4,Salta,"13,80","-24,7821","-65,4232"
2023,4,San Juan,"12,75","-31,5275","-68,5386"
2023,4,San Luis,"29,21","-33,3018","-66,3378"
2023,4,Santa Cruz,"21,94","-48,7834","-69,9335"
2023,4,Santa Fe,"25,08","-31,6333","-60,7000"
2023,4,Santiago Del Estero,"12,18","-27,7834","-64,2642"
2023,4,Tierra Del Fuego,"32,75","-54,8019","-68,3029"
2023,4,Tucumán,"15,12","-26,8241","-65,2226"
2023,3,Buenos Aires,"27,50","-36,6769","-60,5588"
2023,3,Capital Federal,"47,60","-34,6037","-58,3816"
2023,3,Catamarca,"17,44","-28,4696","-65,7795"
2023,3,Chaco,"11,46","-27,4515","-58,9864"
2023,3,Chubut,"25,82","-43,3002","-65,1023"
2023,3,Córdoba,"27,57","-31,4201","-64,1888"
2023,3,Corrientes,"13,90","-27,4806","-58,8341"
2023,3,Entre Ríos,"20,58","-32,0718","-60,5238"
2023,3,Formosa,"9,89","-26,1728","-58,1825"
2023,3,Jujuy,"14,73","-24,1945","-65,2971"
2023,3,La Pampa,"32,62","-37,7429","-64,2856"
2023,3,La Rioja,"21,41","-29,4135","-66,8565"
2023,3,Mendoza,"14,52","-34,5890","-68,3480"
2023,3,Misiones,"15,12","-27,3644","-55,9000"
2023,3,Neuquén,"23,80","-38,9516","-68,0591"
2023,3,Río Negro,"21,04","-40,8135","-67,9665"
2023,3,Salta,"13,94","-24,7821","-65,4232"
2023,3,San Juan,"12,85","-31,5275","-68,5386"
2023,3,San Luis,"28,20","-33,3018","-66,3378"
2023,3,Santa Cruz,"12,17","-48,7834","-69,9335"
2023,3,Santa Fe,"24,87","-31,6333","-60,7000"
2023,3,Santiago Del Estero,"12,08","-27,7834","-64,2642"
2023,3,Tierra Del Fuego,"31,41","-54,8019","-68,3029"
2023,3,Tucumán,"15,17","-26,8241","-65,2226"
2023,2,Buenos Aires,"27,10","-36,6769","-60,5588"
2023,2,Capital Federal,"47,27","-34,6037","-58,3816"
2023,2,Catamarca,"17,15","-28,4696","-65,7795"
2023,2,Chaco,"11,46","-27,4515","-58,9864"
2023,2,Chubut,"25,28","-43,3002","-65,1023"
2023,2,Córdoba,"27,59","-31,4201","-64,1888"
2023,2,Corrientes,"13,79","-27,4806","-58,8341"
2023,2,Entre Ríos,"19,26","-32,0718","-60,5238"
2023,2,Formosa,"9,75","-26,1728","-58,1825"
2023,2,Jujuy,"14,78","-24,1945","-65,2971"
2023,2,La Pampa,"32,40","-37,7429","-64,2856"
2023,2,La Rioja,"21,30","-29,4135","-66,8565"
2023,2,Mendoza,"14,54","-34,5890","-68,3480"
2023,2,Misiones,"15,03","-27,3644","-55,9000"
2023,2,Neuquén,"23,50","-38,9516","-68,0591"
2023,2,Río Negro,"21,09","-40,8135","-67,9665"
2023,2,Salta,"13,92","-24,7821","-65,4232"
2023,2,San Juan,"12,10","-31,5275","-68,5386"
2023,2,San Luis,"26,73","-33,3018","-66,3378"
2023,2,Santa Cruz,"12,39","-48,7834","-69,9335"
2023,2,Santa Fe,"24,79","-31,6333","-60,7000"
2023,2,Santiago Del Estero,"11,70","-27,7834","-64,2642"
2023,2,Tierra Del Fuego,"31,54","-54,8019","-68,3029"
2023,2,Tucumán,"15,05","-26,8241","-65,2226"
2023,1,Buenos Aires,"26,81","-36,6769","-60,5588"
2023,1,Capital Federal,"50,23","-34,6037","-58,3816"
2023,1,Catamarca,"16,83","-28,4696","-65,7795"
2023,1,Chaco,"11,53","-27,4515","-58,9864"
2023,1,Chubut,"26,32","-43,3002","-65,1023"
2023,1,Córdoba,"27,20","-31,4201","-64,1888"
2023,1,Corrientes,"13,71","-27,4806","-58,8341"
2023,1,Entre Ríos,"19,37","-32,0718","-60,5238"
2023,1,Formosa,"9,87","-26,1728","-58,1825"
2023,1,Jujuy,"14,88","-24,1945","-65,2971"
2023,1,La Pampa,"31,81","-37,7429","-64,2856"
2023,1,La Rioja,"21,23","-29,4135","-66,8565"
2023,1,Mendoza,"14,34","-34,5890","-68,3480"
2023,1,Misiones,"14,70","-27,3644","-55,9000"
2023,1,Neuquén,"23,38","-38,9516","-68,0591"
2023,1,Río Negro,"21,27","-40,8135","-67,9665"
2023,1,Salta,"13,97","-24,7821","-65,4232"
2023,1,San Juan,"12,67","-31,5275","-68,5386"
2023,1,San Luis,"25,80","-33,3018","-66,3378"
2023,1,Santa Cruz,"12,92","-48,7834","-69,9335"
2023,1,Santa Fe,"24,57","-31,6333","-60,7000"
2023,1,Santiago Del Estero,"11,80","-27,7834","-64,2642"
2023,1,Tierra Del Fuego,"30,90","-54,8019","-68,3029"
2023,1,Tucumán,"14,95","-26,8241","-65,2226"
2022,4,Buenos Aires,"26,72","-36,6769","-60,5588"
2022,4,Capital Federal,"50,35","-34,6037","-58,3816"
2022,4,Catamarca,"16,73","-28,4696","-65,7795"
2022,4,Chaco,"11,66","-27,4515","-58,9864"
2022,4,Chubut,"26,23","-43,3002","-65,1023"
2022,4,Córdoba,"27,26","-31,4201","-64,1888"
2022,4,Corrientes,"13,60","-27,4806","-58,8341"
2022,4,Entre Ríos,"19,14","-32,0718","-60,5238"
2022,4,Formosa,"10,03","-26,1728","-58,1825"
2022,4,Jujuy,"14,95","-24,1945","-65,2971"
2022,4,La Pampa,"31,23","-37,7429","-64,2856"
2022,4,La Rioja,"21,26","-29,4135","-66,8565"
2022,4,Mendoza,"14,33","-34,5890","-68,3480"
2022,4,Misiones,"14,39","-27,3644","-55,9000"
2022,4,Neuquén,"23,41","-38,9516","-68,0591"
2022,4,Río Negro,"21,04","-40,8135","-67,9665"
2022,4,Salta,"14,04","-24,7821","-65,4232"
2022,4,San Juan,"12,96","-31,5275","-68,5386"
2022,4,San Luis,"25,83","-33,3018","-66,3378"
2022,4,Santa Cruz,"12,95","-48,7834","-69,9335"
2022,4,Santa Fe,"24,65","-31,6333","-60,7000"
2022,4,Santiago Del Estero,"11,92","-27,7834","-64,2642"
2022,4,Tierra Del Fuego,"30,07","-54,8019","-68,3029"
2022,4,Tucumán,"15,12","-26,8241","-65,2226"
