Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud,Accesos poblacion trimestre anterior,Accesos poblacion meta
2014,1,Buenos Aires,"16,69","-36,6769","-60,5588","0,00","0,00"
2014,2,Buenos Aires,"16,79","-36,6769","-60,5588","16,69","17,03"
2014,3,Buenos Aires,"17,26","-36,6769","-60,5588","16,79","17,13"
2014,4,Buenos Aires,"17,01","-36,6769","-60,5588","17,26","17,61"
2015,1,Buenos Aires,"17,24","-36,6769","-60,5588","17,01","17,36"
2015,2,Buenos Aires,"17,33","-36,6769","-60,5588","17,24","17,59"
2015,3,Buenos Aires,"17,55","-36,6769","-60,5588","17,33","17,67"
2015,4,Buenos Aires,"17,68","-36,6769","-60,5588","17,55","17,90"
2016,1,Buenos Aires,"17,54","-36,6769","-60,5588","17,68","18,04"
2016,2,Buenos Aires,"18,10","-36,6769","-60,5588","17,54","17,89"
2016,3,Buenos Aires,"18,30","-36,6769","-60,5588","18,10","18,46"
2016,4,Buenos Aires,"18,58","-36,6769","-60,5588","18,30","18,66"
2017,1,Buenos Aires,"18,80","-36,6769","-60,5588","18,58","18,95"
2017,2,Buenos Aires,"18,10","-36,6769","-60,5588","18,80","19,18"
2017,3,Buenos Aires,"17,94","-36,6769","-60,5588","18,10","18,47"
2017,4,Buenos Aires,"18,61","-36,6769","-60,5588","17,94","18,29"
2018,1,Buenos Aires,"20,28","-36,6769","-60,5588","18,61","18,99"
2018,2,Buenos Aires,"20,37","-36,6769","-60,5588","20,28","20,69"
2018,3,Buenos Aires,"20,96","-36,6769","-60,5588","20,37","20,78"
2018,4,Buenos Aires,"21,06","-36,6769","-60,5588","20,96","21,38"
2019,1,Buenos Aires,"21,64","-36,6769","-60,5588","21,06","21,48"
2019,2,Buenos Aires,"22,22","-36,6769","-60,5588","21,64","22,07"
2019,3,Buenos Aires,"22,76","-36,6769","-60,5588","22,22","22,66"
2019,4,Buenos Aires,"21,14","-36,6769","-60,5588","22,76","23,22"
2020,1,Buenos Aires,"21,21","-36,6769","-60,5588","21,14","21,56"
2020,2,Buenos Aires,"21,55","-36,6769","-60,5588","21,21","21,63"
2020,3,Buenos Aires,"22,41","-36,6769","-60,5588","21,55","21,98"
2020,4,Buenos Aires,"22,90","-36,6769","-60,5588","22,41","22,86"
2021,1,Buenos Aires,"23,00","-36,6769","-60,5588","22,90","23,36"
2021,2,Buenos Aires,"23,35","-36,6769","-60,5588","23,00","23,46"
2021,3,Buenos Aires,"23,97","-36,6769","-60,5588","23,35","23,82"
2021,4,Buenos Aires,"25,36","-36,6769","-60,5588","23,97","24,45"
2022,1,Buenos Aires,"25,56","-36,6769","-60,5588","25,36","25,87"
2022,2,Buenos Aires,"26,13","-36,6769","-60,5588","25,56","26,07"
2022,3,Buenos Aires,"26,37","-36,6769","-60,5588","26,13","26,65"
2022,4,Buenos Aires,"26,72","-36,6769","-60,5588","26,37","26,90"
2023,1,Buenos Aires,"26,81","-36,6769","-60,5588","26,72","27,25"
2023,2,Buenos Aires,"27,10","-36,6769","-60,5588","26,81","27,35"
2023,3,Buenos Aires,"27,50","-36,6769","-60,5588","27,10","27,64"
2023,4,Buenos Aires,"27,68","-36,6769","-60,5588","27,50","28,05"
2024,1,Buenos Aires,"27,80","-36,6769","-60,5588","27,68","28,23"
2024,2,Buenos Aires,"27,43","-36,6769","-60,5588","27,80","28,36"
2014,1,Capital Federal,"42,66","-34,6037","-58,3816","0,00","0,00"
2014,2,Capital Federal,"42,97","-34,6037","-58,3816","42,66","43,51"
2014,3,Capital Federal,"43,21","-34,6037","-58,3816","42,97","43,83"
