Año,Trimestre,Provincia,Mbps,Latitud,Longitud,Meta Mbps
2014,1,Buenos Aires,"3,73","-36,6769","-60,5588","0,00"
2014,2,Buenos Aires,"3,85","-36,6769","-60,5588","3,81"
2014,3,Buenos Aires,"3,97","-36,6769","-60,5588","3,93"
2014,4,Buenos Aires,"4,20","-36,6769","-60,5588","4,05"
2015,1,Buenos Aires,"4,32","-36,6769","-60,5588","4,28"
2015,2,Buenos Aires,"4,46","-36,6769","-60,5588","4,41"
2015,3,Buenos Aires,"4,70","-36,6769","-60,5588","4,55"
2015,4,Buenos Aires,"4,88","-36,6769","-60,5588","4,79"
2016,1,Buenos Aires,"4,99","-36,6769","-60,5588","4,98"
2016,2,Buenos Aires,"5,42","-36,6769","-60,5588","5,09"
2016,3,Buenos Aires,"5,91","-36,6769","-60,5588","5,52"
2016,4,Buenos Aires,"6,35","-36,6769","-60,5588","6,03"
2017,1,Buenos Aires,"6,68","-36,6769","-60,5588","6,48"
2017,2,Buenos Aires,"7,20","-36,6769","-60,5588","6,81"
2017,3,Buenos Aires,"8,43","-36,6769","-60,5588","7,34"
2017,4,Buenos Aires,"12,97","-36,6769","-60,5588","8,59"
2018,1,Buenos Aires,"14,20","-36,6769","-60,5588","13,23"
2018,2,Buenos Aires,"14,68","-36,6769","-60,5588","14,48"
2018,3,Buenos Aires,"16,78","-36,6769","-60,5588","14,97"
2018,4,Buenos Aires,"16,93","-36,6769","-60,5588","17,12"
2019,1,Buenos Aires,"19,64","-36,6769","-60,5588","17,27"
2019,2,Buenos Aires,"22,48","-36,6769","-60,5588","20,04"
2019,3,Buenos Aires,"25,68","-36,6769","-60,5588","22,93"
2019,4,Buenos Aires,"30,77","-36,6769","-60,5588","26,19"
2020,1,Buenos Aires,"45,18","-36,6769","-60,5588","31,39"
2020,2,Buenos Aires,"45,66","-36,6769","-60,5588","46,08"
2020,3,Buenos Aires,"48,38","-36,6769","-60,5588","46,58"
2020,4,Buenos Aires,"50,01","-36,6769","-60,5588","49,34"
